ID_merge,appid,id_developer,weights
510,22120,5708,1.0
511,22130,11543,1.0
512,22180,5708,1.0
513,22200,400,1.0
514,22230,400,1.0
515,22300,1765,1.0
516,22310,12693,1.0
517,22320,1765,1.0
518,22330,1765,1.0
519,22350,14399,1.0
520,22370,1765,1.0
521,22380,11097,1.0
522,22450,7561,1.0
523,22500,1106,0.5
524,22500,15629,0.5
525,22600,15265,1.0
526,22610,15266,1.0
527,22650,15265,1.0
528,22670,15265,1.0
529,23150,12716,1.0
530,23300,14435,1.0
531,23380,12172,0.5
532,23380,14435,0.5
533,23400,6620,1.0
534,23420,11543,1.0
535,23450,6620,1.0
536,23460,12683,1.0
537,23490,6620,1.0
538,23500,7433,1.0
539,23530,16523,1.0
540,23600,14203,1.0
541,23700,7433,1.0
542,24010,4343,1.0
543,24200,3840,1.0
544,24240,11440,1.0
545,24400,10603,1.0
546,24410,10603,1.0
547,24420,1890,1.0
548,24460,10603,1.0
549,24480,10603,1.0
550,24640,10462,1.0
551,24650,10462,1.0
552,24670,10462,1.0
553,24720,4586,1.0
554,24740,3415,1.0
555,24780,1303,0.5
556,24780,4586,0.5
557,24790,4588,1.0
558,24800,4588,1.0
559,24810,4588,1.0
560,24840,4588,1.0
561,24870,14044,1.0
562,24960,4078,1.0
563,24980,1872,1.0
564,25000,17168,1.0
565,25010,17168,1.0
566,25500,10058,1.0
567,25600,1587,1.0
568,25620,1587,1.0
569,25700,12028,1.0
570,25800,11543,1.0
571,25830,1974,1.0
572,25850,55,1.0
573,25890,11543,1.0
574,25900,49,1.0
575,25910,1607,1.0
576,25930,10848,1.0
577,25980,55,1.0
578,25990,3547,1.0
579,26000,16135,1.0
580,26300,11492,1.0
581,26800,11046,1.0
582,26900,8462,1.0
