id_developer	developers
807	Amaranth Games, LLC
808	AMASS
809	Amaterasu Software
810	Amazastrophic
811	AmazeVR, Inc
812	Amazing VR
813	Amazu Media
814	Amber Eye Studio
815	Amber Garage, Inc.
816	AmberDrop
817	AmberTail
818	Ambiera
819	Ambiera e.U.
820	Amedeo Vasaturo (meovas)
821	Ameet Sharma
822	Amegami
823	Amelie Berthome
824	Americo Mateus Rodrigues
825	Ametist studio
826	AMG GAMES
827	AMIDEA Games
828	Amidos
829	Amigo VR
830	Amigo VR Studio
831	Amilton Neves
832	Amistech Games
833	Ammon Beardmore
834	Ammonite Design Studios Ltd
835	Among Giants
836	ampersandbear
837	Amplecti Chao
838	AMPLITUDE Studios
839	Amrita Studio
840	AMS Game Development Association
841	amulware
842	Amund Farifteh
843	Amusitronix
844	Amy Li
845	AN GAMES Co.,Ltd
846	AN Productions
847	Ana Beltran
848	ANAGRAM
849	Analog Casual Studios
850	Anamik Majumdar
851	Anarchy Enterprises
852	Anarchy Interactive
853	Anarchy Softworks LLC
854	Anarkica Games
855	Anarkis Gaming
856	Anarquico
857	Anarteam
858	ANASTASI SUKHONOSOVA
859	Anate Studio
860	Anatola Howard
861	Anatoliy Loginovskikh
862	Anatoly Efremov
863	Anatoly Konstantinov
864	Anawiki Games
865	Anazz
866	anchor Inc.
867	Anchora Games
868	Ancient Games DS
869	Ancient War Studios
870	AncientSky Games
871	AndAll Interactive
872	Andeolab
873	Anders Schou
874	AnderShi
875	Andiks LTD.
876	Andrade Games
877	Andrea Hochstein
878	Andrea Mancuso
879	Andreas Ammer
880	Andreas Aust
881	Andreas Britten
882	Andreas Cavazzini
883	Andreas Diktyopoulos
884	Andreas Hager Gaming
885	Andreas Stieger
886	Andrei Romanov
887	Andreil Game
888	Andres Garcia
889	Andrettin
890	"Andrew ""Versus"" Larionov"
891	Andrew and Christopher Kirmse
892	Andrew Augustine
893	Andrew Bates
894	Andrew C. Wang
895	Andrew Chuprina
896	Andrew Drumov
897	Andrew French
898	Andrew Gilmour
899	Andrew Gwinner
900	Andrew Higgins
901	Andrew Luck
902	Andrew Moran
903	Andrew Morrish
904	Andrew Ogunnaike
905	Andrew Oudot
906	Andrew Rodenhiser
907	Andrew Rowe
908	Andrew Ryan Henke
909	Andrew Stout
910	Andrew Thomas
911	Andrew Willman
912	AndrewDrumov, Sanke Berdochan
913	Andrewus
914	Andrey Bely
915	Andrey Haritonov
916	Andrey Kashin
917	Andrey Larionov, Ramin Budagov
918	Andrey Malyarov
919	Andrey Omelchenko
920	Andrey Rumak
921	Andrey Scanarri (Scanarri)
922	Andrii Vintsevych
923	Androzz
924	Andr� Bertaglia
925	Andwhy
926	Andy Buck
927	Andy Campbell
928	Andy Howard Games
929	Andy Imm
930	Andy Jurko
931	Andy Mark
932	Andy Montgomery
933	Andy Sharpe
934	Andy Sztark
935	Andy Wallace
936	Andy Zelonis
937	Andymente
938	Anea_Duo_Dev
939	ANG People s.r.o.
940	Angel Carriola
941	Angel D
942	Angel Iliev Hrisimov
943	Angel T
944	Angels Blue Digital Entertainment
945	Angry Angel Games
946	Angry Array
947	Angry Cat Studios
948	Angry Demon Studio
949	Angry games
950	Angry Hangar Games, LLC
951	Angry Mob Games
952	Angry Rabbit Studios
953	AngryAngelGames
954	Anguis Game Studio
955	Angus Seung
956	Anima
957	Anima Locus
958	Anima Project
959	Animal Mouth
960	Animate Objects
961	Animation Arts
962	Animation Arts Creative GmbH
963	Animation Arts GmbH
964	Animation Catalyst
965	Animation F/X
966	Anime fashion show
967	Anime Games
968	Anime Hearts
969	Anime squad
970	AnimeBomb
971	Animootor
972	Animu Game
973	Animus Interactive Inc
974	Animvs Game Studio
975	Animyst Games
976	ANIM�ACE
977	Anino Games
978	Aniode
979	Anisoptera Games
980	Ankake Spa
981	Ankama Games
982	Ankama Studio
983	Ankur Rathore
984	Annaliese Bevan
985	Anne M�nkk�nen
986	Anoman Studio
987	Anonymous Games
